Id,Nom,Client,Code client,Adresse,Code postal,Ville,Forme juridique,Identifiant professionnel 1,Identifiant professionnel 2,Identifiant professionnel 4,Identifiant professionnel 3,Identifiant professionnel 5,Identifiant professionnel 6,Num. TVA,
1,Dominique Lauwerier,1,CL-1609-000001,1 RUE CENTRALE,80220,MAISNIERES,Exploitant agricole,382721033,38272103300027,,0150Z,,,,
2,EARL Gouge,2,CL-1609-000002,"Ferme de l'Eglise, 11 rue de l'Eglise",77133,Féricy.,Exploitant agricole,,,,,,,,
3,SAS AMDPB,2,CL-1609-000003,43 RUE PRINCIPALE,57220,VARIZE,Société par actions simplifiée (SAS),789297553,78929755300016,,3821Z,,,,
4,GAEC d'Anjou,1,CL-1610-000004,FERME D ANJOU,80470,AILLY SUR SOMME,Associé Gérant de société,335042602,33504260200011,,0150Z,,,,
11,GAEC HENNUYER,1,CL-1610-000006,198 rue de Parmentier,62850,Licques,,,,,,,,,
12,calipso,0,,86 Boulevard de la République,80101,Abbeville,,,,,,,,,
13,SCA DE MILLY-SUR-THERAIN,0,,7 rue de la Briqueterie,60112,MILLY-SUR-THERAIN,,,,,,,,,
14,Cobevial,0,CL-1611-000007,51 rue Sully CS 81604,80016,AMIENS CEDEX 1,,,,,,,,,
15,Unéal,0,,"1, rue Marcel Leblanc",62054,Saint-Laurent-Blangy,,,,,,,,,
16,Cap seine,0,,"16, rue Georges Charpak",76134,Mont Saint Aignan,,,,,,,,,
17,FN3PT/RD3PT,0,,43-45 rue de Naples,75008,PARIS,,,,,,,,,
18,NORIAP,0,,22 bd Michel Strogoff Pôle Jules Verne - Secteur 2,80440,BOVES,,,,,,,,,
19,Sana Terra,0,,22 bis rue du 14 juillet,80170,Rosières-en-Santerre,,,,,,,,,
20,Acolyance,0,,"16, bvd du Val de Vesle",51684,Reims,,,,,,,,,
21,CFA Canappeville,0,,CFA-CPSE 3 Les Landes,27400,CANAPPEVILLE,,,,,,,,,
25,GAEC Des Croisettes,2,CL-1611-000008,1 bis rue des croisettes,80135,Bussus Bussuel,GAEC,,,,,,,,
26,GAEC de l'Argilière,2,CL-1611-000009,23 Grande Rue,80300,Grandcourt,GAEC,,,,,,,,
27,Gaec de Viesville,2,CL-1611-000010,"13, Rue des Poissonniers",80190,Nesles,GAEC,,,,,,,,
28,EARL AMBEZA,2,CL-1611-000011,18 rue principale,62760,Coin,,,,,,,,,
29,EARL de l'Aubépine,2,CL-1611-000012,Rue De Molliens,80540,Camps-en-Amiénois,Exploitant agricole,,,,,,,,
30,EARL des Hortensias,2,CL-1611-000013,25 rue de Barly,62810,Fosseux,,,,,,,,,
31,EARL de la Pierre Blanche,2,CL-1611-000014,LA PIERRE BLANCHE,22170,PLELO,,,,,,,,,
33,COOPERATIVE FRUITIERE LAIT PRAIRIES DU BOULONNAIS,3,CL-1611-000015,48 RUE DU CAMP,62240,VIEIL MOUTIER,Société coopérative commerciale particulière,803856608,,,,,,,
34,Chambre d?Agriculture de l?Oise,3,CL-1611-000016,Rue Frère Gagne ? BP 40463,60000,BEAUVAIS Cedex,,,,,,,,,
35,Julien BILOCQ,2,CL-1611-000017,rue de metz,57420,Coin sur seille,,,,,,,,,
38,EARL Mascaux,2,CL-1612-000018,FERME DU QUESNOY HAVRINCOURT,62147,HERMIES,Entreprise Unipersonnelle à Responsabilité Limitée (EURL),381416833,38141683300014,,0146Z,,,,
39,EARL DENNEQUIN,2,CL-1612-000019,2156 LOON STRAETE,59270,MERRIS,,334688777,33468877700013,,0146Z,,,,
40,SCARA FORMATION,2,CL-1612-000020,Immeuble L?Oisans 81 rue du 1er mars 1943,69100,Villeurbanne,Société par actions simplifiée (SAS),808409 87,80840987400027,,8559A,,,,
44,ADEME,2,CL-1701-000021,Centre tertiaire de l?arsenal,59500,DOUAI,,,,,,,,,
45,Chambre Agriculture de l'Aisne,1,CL-1701-000022,1 rue René Blondelle,02007,LAON CEDEX,,,,,,,,,
54,SAS MIGNE BIOMETHANE,3,CL-1702-000023,,86440,MIGNE AUXANCES,,,,,,,,,
56,Weenat,1,CL-1703-000024,165 Av. de Bretagne,59000,Lille,Société par actions simplifiée (SAS),,,,,,,,
60,Le Parisien,0,,,,,,,,,,,,,
61,EURL Baumont,0,,Le bois de la Touche,41160,Brevainville,,,,,,,,,
62,Lécalier SARL,2,CL-1703-000025,146 route du chateau,76430,Sainnneville sur Seine,,,,,,,,,
63,Flandres Oignons,2,CL-1703-000026,3405 RD 916,59380,Quadypre,,,,,,,,,
64,Ekylibre,0,,,,,,,,,,,,,
65,Arnaud Targat,2,CL-1703-000027,,,,,,,,,,,,
66,BERTRAND DUBOIS,2,CL-1703-000028,10 RUE DU 11 NOVEMBRE,62580,FARBUS,,,,,,,,,
68,SCEA DE THEUVY,2,CL-1703-000030,41 RUE DU PRIEURE,28170,TREMBLAY LES VILLAGES,,,,,,,,,
69,GAEC DE LA BESNARDAIS,2,CL-1703-000031,LA BESNARDAIS,53300,SOUCE,,,,,,,,,
70,EARL ZINS DUTHOIT,0,,24 CHAUSSEE BRUNEHAUT,59570,BERMERIES,,,,,,,,,
72,Méthalac,0,,3 cours charlemagne,69217,Lyon,,,,,,,,,
73,SARL DES CAPPES,2,CL-1703-000032,1025 RUE DES CAPPES,62730,LES ATTAQUES,,,,,,,,,
74,SYNDICAT VIGNERONS INDEPENDANTS DE FRANCE,0,,,,,,,,,,,,,
75,EARL HUGUES DEBLOCK,2,CL-1703-000033,1143 RUE DE CHAUNY,80400,BROUCHY,,,,,,,,,
76,Groupe ADVITAM,0,,,,,,,,,,,,,
77,EARL DEBLOCK FLORENCE ET STEPHANE,2,CL-1703-000034,4 RUE DES ETANGS,80200,SAINT CHRIST BRIOST,,,,,,,,,
78,AGRIAL,0,,"4, rue des Roquemonts CS 35051",14050,CAEN Cedex 4,,,,,,,,,
80,Agglo Saint Quesntinois,0,CL-1703-000035,Espace Créatis 6 av d'Archimède BP80352,02108,Saint Quentin,,,,,,,,,
